,index,id,name,overview,genres,created_by,popularity,type
1282,1282,283194,On the wings of love,"Politician Antonis Papastavrou marries his son Dimitris Papastavrou to Erietta, the only daughter of his childhood friend Stefanos Sekeris. Sekeris's wife is having an illicit affair with a much younger man, Andreas. On the wedding day, in front of everyone on the steps of the church, Papastavrou is murdered and the young Andreas is arrested as the perpetrator. A tangle of strange relationships and financial scandals will begin to unravel on the occasion of this arrest of the alleged murderer and the attempt to solve the murder.",['Drama'],"['Elena Akrita', 'Giorgos Kyritsis']",18.1486,Scripted
1283,1283,93221,The Great North,"Follow the Alaskan adventures of the Tobin family as a single dad does his best to keep his weird bunch of kids close, especially as the artistic dreams of his only daughter lead her away from the family fishing boat and into the glamorous world of the local mall.","['Animation', 'Comedy']","['Lizzie Molyneux-Logelin', 'Wendy Molyneux', 'Minty Lewis']",18.148,Scripted
1284,1284,238576,说宋朝,unknown,['unknown'],['李亚平'],18.1411,Talk Show
1285,1285,34967,Falling Skies,"Falling Skies opens in the chaotic aftermath of an alien attack that has left most of the world completely incapacitated. In the six months since the initial invasion, the few survivors have banded together outside major cities to begin the difficult task of fighting back. Each day is a test of survival as citizen soldiers work to protect the people in their care while also engaging in an insurgency campaign against the occupying alien force.","['Action & Adventure', 'Sci-Fi & Fantasy', 'Drama']",['Robert Rodat'],18.1359,Scripted
1286,1286,4860,Waking the Dead,A detective team apply new techniques to old crimes as they solve cold cases.,"['Crime', 'Mystery', 'Drama']",['Keith Gordon'],18.1317,Scripted
1287,1287,2617,Step by Step,"Step by Step is an American television sitcom with two single parents, who spontaneously get married after meeting one another during a vacation, resulting in them becoming the heads of a large blended family","['Comedy', 'Family']","['Michael Warren', 'William Bickley']",18.1296,Scripted
1288,1288,61671,Unbreakable Kimmy Schmidt,"When a woman is rescued from a doomsday cult and lands in New York City, she must navigate a world she didn’t think even existed anymore.",['Comedy'],"['Tina Fey', 'Robert Carlock']",18.1263,Scripted
1289,1289,911,Kaun Banega Crorepati,"Hosted by India's biggest superstar, Amitabh Bachchan, one of the biggest shows is here to entertain millions, change lives and make dreams come true.",['Reality'],['Arun Sheshkumar'],18.1149,Reality
1290,1290,49071,Valley of the Wolves: Ambush,"A continuation series of Osman Sinav's The Wolves Of The Valley. This produce focuses on politics, National Security and Regional Middle East problems. The Wolves of The Valley: Ambush serie also attracts attention by two film; The Wolves of The Valley: Iraq and The Wolves of The Valley: Palestine.","['Drama', 'War & Politics', 'Action & Adventure', 'Crime']",['Raci Şaşmaz'],18.1117,Scripted
1291,1291,88324,Virgin River,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",['Drama'],['Sue Tenney'],18.1074,Scripted
1292,1292,120850,House of 72 Tenants,"This drama is based on the film 'Seventy-two Tenants' and describes the struggle between landlords and tenants in the seventy-two houses in the street in the late 1940s, as well as a large number of descriptions of neighborhood life under the rule of the Kuomintang.",['Comedy'],['林书锦'],18.1047,Scripted
1293,1293,67683,Travelers,"Hundreds of years from now, the last surviving humans discover the means of sending consciousness back through time, directly into people in the 21st century. These ""travelers"" assume the lives of seemingly random people, while secretly working as teams to perform missions in order to save humanity from a terrible future.","['Drama', 'Sci-Fi & Fantasy']",['Brad Wright'],18.0822,Scripted
1294,1294,2243,Touched by an Angel,"Monica, an angel, is tasked with bringing guidance and messages from God to various people who are at a crossroads in their lives.","['Sci-Fi & Fantasy', 'Drama', 'Family']",['John Masius'],18.0788,Scripted
1295,1295,2251,Taxi,"Louie De Palma is a cantankerous, acerbic taxi dispatcher in New York City. He tries to maintain order over a collection of varied and strange characters who drive for him. As he bullies and insults them from the safety of his “cage,” they form a special bond among themselves, becoming friends and supporting each other through the inevitable trials and tribulations of life.","['Comedy', 'Drama']","['Stan Daniels', 'Ed. Weinberger', 'James L. Brooks']",18.0726,Scripted
1296,1296,16321,Casi Ángeles,"A group of kids is abused and exploited, but everything changes with Cielo and Nico. A story full of music, songs, choreography and competitions.","['Comedy', 'Drama', 'Mystery', 'Sci-Fi & Fantasy', 'Soap']",['Cris Morena'],18.0661,Scripted
1297,1297,288589,Easygoing Territory Defense by the Optimistic Lord,"Reborn as a marquis’ fourth son, Van was once hailed as a genius prodigy—until he’s exiled to a nameless frontier village for possessing Production Magic, a useless type of magic in this world. But when he uses his “useless” power to craft weapons, tools, and wonders beyond imagination, the village begins to thrive! What began as exile is now the start of a new life—and a world-changing adventure!","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",['unknown'],18.0394,Scripted
1298,1298,32958,Survivor,"Survivor (Hebrew: הישרדות‎, Hisardut), formerly known as Survivor 10, is an Israeli reality competition game show based on the popular international Survivor television franchise. The series began in December 2007 and aired on Israeli's Channel 10 for 6 seasons. After legal issues between Channel 10 and Castaway Television, the series went on a three-year hiatus before returning in 2015 on Reshet. The show is hosted by actor and singer Guy Zu-Aretz.",['Reality'],['unknown'],18.0234,Reality
1299,1299,82708,The First Years,The First Years is a Dutch series for young people in which real-life situations are recreated. The series sheds light on subjects that pupils in the first year of secondary school may be confronted with.,"['Soap', 'Drama']","['Raymond Grimbergen', 'Nicolien Kool', 'Eva Leysen']",18.0022,Scripted
1300,1300,50956,HaAlufa,unknown,"['Comedy', 'Drama']","['Roni Idor', 'Etsion Nimrod', 'Dror Nobleman', 'Limor Nachmias', 'Gal Zaid', 'Lachmi Saar']",17.9958,Scripted
1301,1301,5917,90210,"90210 revolves around several students at the fictional West Beverly Hills High School, including new Beverly Hills residents Annie Wilson and Dixon Wilson. Their father, Harry Wilson, has returned from Kansas to his Beverly Hills childhood home with his family to care for his mother, former television and theater actress Tabitha Wilson, who has a drinking problem and clashes with his wife Debbie Wilson. Annie and Dixon struggle to adjust to their new lives while making friends and yet adhering to their parents' wishes.",['Drama'],"['Rob Thomas', 'Gabe Sachs', 'Jeff Judah']",17.9892,Scripted
1302,1302,6145,Modern Marvels,"HISTORY’s longest-running series moves to H2. Modern Marvels celebrates the ingenuity, invention and imagination found in the world around us. From commonplace items like ink and coffee to architectural masterpieces and engineering disasters, the hit series goes beyond the basics to provide insight and history into things we wonder about and that impact our lives. This series tells fascinating stories of the doers, the dreamers and sometime-schemers that create everyday items, technological breakthroughs and manmade wonders. The hit series goes deep to explore the leading edge of human inspiration and ambition.",['Documentary'],['Bruce Nash'],17.9849,Documentary
1303,1303,74277,Document 72 Hours,"An unusual documentary series that delves into human dramas through chance encounters with ordinary people at selected spots. Filmed over 72 hours in a single location, the show captures glimpses into people's lives as they open up and share their stories.

Japanese Broadcast Version",['Documentary'],['unknown'],17.9652,Documentary
1304,1304,13943,Beavis and Butt-Head,"Two dimwitted teenagers discuss TV, heavy-metal music, nachos, and trying to ""score with chicks."" When the duo aren't sitting on the couch, they try to pick up girls at the local convenience store, slack off at school, or wreak havoc while working at a burger joint.","['Animation', 'Comedy']",['Mike Judge'],17.9592,Scripted
1305,1305,1027,The Carol Burnett Show,"The Carol Burnett Show is an American variety/sketch comedy television show starring Carol Burnett, Harvey Korman, Vicki Lawrence, Lyle Waggoner, and Tim Conway. It originally ran on CBS from September 11, 1967, to March 29, 1978, for 278 episodes and originated from CBS Television City's Studio 33. The series won 25 prime time Emmy Awards, was ranked No. 16 on TV Guide's 50 Greatest TV Shows of All Time in 2002 and in 2007 was listed as one of Time magazine's ""100 Best TV Shows of All Time.""","['Comedy', 'Family']",['unknown'],17.9547,Scripted
1306,1306,26867,Mushi-Shi,"Ginko, a Mushi master, travels from place to place researching the Mushi and helping people who are suffering because of it.","['Animation', 'Drama', 'Sci-Fi & Fantasy']",['unknown'],17.9514,Scripted
1307,1307,30982,Hikaru no Go,Hikaru Shindo is like any sixth-grader in Japan: a pretty normal kid with a two-tone head of hair and a penchant for antics. His life completely changes when he finds an old bloodstained go board in his grandfather's attic. The ghost of an ancient go master named Fujiwara-no-Sai was trapped in the board and soon becomes a part of Hikaru's consciousness. Together Hikaru and Sai make an unstoppable go-playing team!,"['Animation', 'Sci-Fi & Fantasy']",['unknown'],17.9464,Scripted
1308,1308,97199,Viva La Romance,unknown,['Reality'],['unknown'],17.9146,Reality
1309,1309,33852,Lost Girl,"The gorgeous and charismatic Bo is a supernatural being called a succubus who feeds on the energy of humans, sometimes with fatal results. Refusing to embrace her supernatural clan and its rigid hierarchy, Bo is a renegade who takes up the fight for the underdog while searching for the truth about her own mysterious origins.","['Sci-Fi & Fantasy', 'Drama']",['M. A. Lovretta'],17.9115,Scripted
1310,1310,82591,Goblin Slayer,"""I'm not saving the world. I just kill goblins.""

Rumor has it that, in a certain guild in the middle of nowhere, there is an extraordinary man who has climbed all the way to the Silver rank just by killing goblins. At the same guild, a priestess who's just become a new adventurer has formed her first party... and the man who ends up rescuing that party when they get into trouble is none other than the Goblin Slayer.","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",['unknown'],17.907,Scripted
1311,1311,2119,Airwolf,"As part of a deal with an intelligence agency to look for his missing brother, a renegade pilot goes on missions with an advanced battle helicopter.","['Action & Adventure', 'Sci-Fi & Fantasy']",['Donald P. Bellisario'],17.8968,Scripted
1312,1312,87739,The Queen's Gambit,"In a 1950s orphanage, a young girl reveals an astonishing talent for chess and begins an unlikely journey to stardom while grappling with addiction.",['Drama'],"['Scott Frank', 'Allan Scott']",17.893,Miniseries
1313,1313,879,All My Children,"All My Children is an American television soap opera that aired on ABC for 41 years, from January 5, 1970 to September 23, 2011, and on The Online Network since April 29, 2013 via Hulu, Hulu Plus, and iTunes. Created by Agnes Nixon, All My Children is set in Pine Valley, Pennsylvania, a fictitious suburb of Philadelphia which is modeled on the actual Philadelphia suburb of Rosemont.",['Soap'],['Agnes Nixon'],17.8919,Scripted
1314,1314,125525,Japanese Folklore Tales,"""Manga Nippon Mukashibanashi"" was a series running from 1975 to 1994 (with a short stop) in japanese tv. Each episode contained 1 to 3 short folk tales from the rich tradition of Japanese storytelling. Ghosts, samurai, goddesses, famous doomed romances, wandering heroes, legendary creatures, mysterious magical visitors... all presented in a simple cartoon style which varies from silly to quite charming.","['Animation', 'Drama']",['unknown'],17.8698,Scripted
1315,1315,127635,Spidey and His Amazing Friends,"Follow Peter Parker, Gwen Stacy and Miles Morales and their adventures as the young heroes team up with Hulk, Ms. Marvel and Black Panther to defeat foes like Rhino, Doc Ock and Green Goblin and learn that teamwork is the best way to save the day.","['Animation', 'Kids']",['unknown'],17.8637,Scripted
1316,1316,311281,Tozkoparan İskender: Kaos,unknown,"['Family', 'Action & Adventure']",['unknown'],17.8585,Scripted
1317,1317,73021,Disenchantment,"Set in a ruined medieval city called Dreamland, Disenchantment follows the grubby adventures of a hard-drinking princess, her feisty elf companion and her personal demon.","['Animation', 'Comedy', 'Action & Adventure', 'Sci-Fi & Fantasy']",['Matt Groening'],17.8531,Scripted
1318,1318,1930,The Beverly Hillbillies,"Jed Clampett's swamp is loaded with oil. When a wildcatter discovers the huge pool, Jed sells his land to the O.K. Oil Company and at the urging of cousin Pearl, moves his family to a 35-room mansion in Beverly Hills, California.","['Comedy', 'Family']",['Paul Henning'],17.8495,Scripted
1319,1319,4515,Lois & Clark: The New Adventures of Superman,"A much more lavish version of the popular Superman television series which had first aired forty years earlier, Lois & Clark focused more on the Man of Steel's early adult years in Metropolis. With the unknowing help of Lois Lane, Clark Kent created Superman there in Metropolis after finding work at the world-famous Daily Planet newspaper, where he meets fellow reporter Lois Lane.","['Action & Adventure', 'Drama', 'Sci-Fi & Fantasy', 'Comedy']",['Deborah Joy LeVine'],17.8428,Scripted
1320,1320,4610,Hannah Montana,"At home and school, she's Miley Stewart, a typical teenager, but when the lights go down and the curtain goes up, she emerges as the glamorous and talented Hannah Montana. Having the ""Best of Both Worlds"" is a complicated proposition, and keeping her identity under wraps leads Miley and her friends into some hilarious capers as she tries to balance her normal life with her rock star persona.","['Comedy', 'Family']","[""Barry O'Brien"", 'Rich Correll', 'Michael Poryes']",17.8399,Scripted
1321,1321,18162,ABC Afterschool Special,"Dramatically presented situations, often controversial, of interest to children and teenagers. Several episodes were either in animated form or presented as documentaries. Topics included illiteracy, substance abuse and teenage pregnancy.",['Drama'],['Guy Fraumeni'],17.8206,Scripted
1322,1322,37863,Fullmetal Alchemist,"Two young brothers are raised as alchemists, but when they are severely injured trying to perform a forbidden act, they begin searching for the one thing that can save them; the fabled philosopher's stone.","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",['unknown'],17.8192,Scripted
1323,1323,3763,Dinosaurs,"Dinosaurs follows the life of a family of dinosaurs, living in a modern world. They have TV's, fridges, microwaves, and every modern convenience.","['Sci-Fi & Fantasy', 'Comedy', 'Family']","['Bob Young', 'Michael Jacobs']",17.8162,Scripted
1324,1324,195410,Dragon Warrior,unknown,"['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy', 'Drama']",['unknown'],17.8159,Scripted
1325,1325,42509,Steins;Gate,"A group of friends have customized their microwave so that it can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them.","['Animation', 'Sci-Fi & Fantasy', 'Mystery', 'Comedy']",['unknown'],17.8072,Scripted
1326,1326,134,Space: 1999,The crew of Moonbase Alpha must struggle to survive when a massive explosion throws the Moon from orbit into deep space.,['Sci-Fi & Fantasy'],"['Sylvia Anderson', 'Gerry Anderson']",17.8072,Scripted
1327,1327,90648,ZDF-Fernsehgarten,unknown,['Talk'],['unknown'],17.8041,Scripted
1328,1328,4278,Friday Night Lights,"The trials and triumphs of life in the small town of Dillon, Texas, where high school football is everything.",['Drama'],"['Brian Grazer', 'Peter Berg']",17.7903,Scripted
1329,1329,91875,Prodigal Son,The son of a notorious serial killer becomes an acclaimed criminal psychologist who uses his unique insight into how killers think to help the NYPD.,"['Crime', 'Drama', 'Mystery']","['Chris Fedak', 'Sam Sklaver']",17.7866,Scripted
1330,1330,1706,The Pretender,"Raised in a secret facility built for experimenting on children, Jarod is a genius who can master any profession and become anyone he has to be. When he realizes as an adult that he's actually a prisoner and his captors are not as benevolent as he's been told, he breaks out. While trying to find his real identity, Jarod helps those he encounters and tries to avoid the woman sent to retrieve him.","['Drama', 'Mystery', 'Sci-Fi & Fantasy']","['Craig W. Van Sickle', 'Steven Long Mitchell']",17.7753,Scripted
1331,1331,39852,The Sinner,"In a small New York town, a haunted detective hunts for answers about perplexing crimes while wrestling with his own demons.","['Crime', 'Drama']",['Derek Simonds'],17.7689,Scripted
1332,1332,27511,GMTV,"GMTV is the name of the national Channel 3 breakfast television contractor/licensee, broadcasting in the United Kingdom from 1 January 1993 to 3 September 2010. It became a wholly owned subsidiary of ITV plc in November 2009. Shortly after, ITV plc announced the programme would end. The final edition of GMTV was broadcast on 3 September 2010.",['News'],['unknown'],17.7619,News
1333,1333,119353,Детективы,unknown,"['Mystery', 'Crime']",['unknown'],17.7593,Scripted
1334,1334,15886,Minuscule: The Private Life of Insects,"Short video animations giving a bird's eye view of insects' day to day existence, distorted through a burlesque, yet poetic lens.","['Kids', 'Animation', 'Comedy']","['Hélène Giraud', 'Thomas Szabo']",17.7508,Scripted
1335,1335,4046,Spooks,"Tense drama series about the different challenges faced by the British Security Service as they work against the clock to safeguard the nation. The title is a popular colloquialism for spies, and the series follows the work of a group of MI5 officers based at the service's Thames House headquarters, in a highly secure suite of offices known as The Grid.","['Drama', 'Action & Adventure', 'Crime']",['David Wolstencroft'],17.7437,Scripted
1336,1336,81927,Nazar,"The Rathods may look like a normal family, but they have been reeling under the evil sight, 'nazar' of a supernatural entity, a Daayan. And once fallen, it never leaves…","['Mystery', 'Sci-Fi & Fantasy']","['Mrinal Jha', 'Gul Khan']",17.7306,Scripted
1337,1337,3716,Dragnet,"Follows the cases of a dedicated Los Angeles police detective, Sergeant Joe Friday, and his partners. The show takes its name from the police term ""dragnet"", meaning a system of coordinated measures for apprehending criminals or suspects.","['Drama', 'Crime']",['Jack Webb'],17.719,Scripted
1338,1338,90937,BEASTARS,"In a world where beasts of all kinds coexist, a gentle wolf awakens to his own predatory urges as his school deals with a murder within its midst.","['Animation', 'Drama', 'Mystery', 'Crime']",['unknown'],17.7131,Scripted
1339,1339,122194,CSI: Vegas,"Facing an existential threat that could bring down the Crime Lab, a brilliant team of forensic investigators must welcome back old friends and deploy new techniques to preserve and serve justice in Sin City.","['Crime', 'Drama', 'Mystery']","['Jason Tracey', 'Anthony E. Zuiker', 'Ann Donahue']",17.6922,Scripted
1340,1340,13126,Matinee Theater,"Matinee Theater is an American anthology series that aired on NBC during the Golden Age of Television, from 1955 to 1958. The series, which ran daily in the afternoon, was frequently live. It was produced by Albert McCleery, Darrell Ross, George Cahan and Frank Price with executive producer George Lowther. McCleery had previously produced the live series Cameo Theatre which introduced to television the concept of theater-in-the-round, TV plays staged with minimal sets.

Jim Buckley of the Pewter Plough Playhouse recalled:

When Al McCleery got back to the States, he originated a most ambitious theatrical TV series for NBC called Matinee Theater: to televise five different stage plays per week live, airing around noon in order to promote color TV to the American housewife as she labored over her ironing. Al was the producer. He hired five directors and five art directors. Richard Bennett, one of our first early presidents of the Pewter Plough Corporation, was one of the directors and I was one of the art directors and, as soon as we were through televising one play, we had lunch and then met to plan next week’s show. That was over 50 years ago, and I’m trying to think; I believe the TV art director is his own set decorator —yes, of course! It had to be, since one of McCleery’s chief claims to favor with the producers was his elimination of the setting per se and simply decorating the scene with a minimum of props. It took a bit of ingenuity.",['Drama'],['unknown'],17.6909,Scripted
1341,1341,9937,Intimate Portrait,"Intimate Portrait is a biographical television series on the Lifetime Television cable network focusing on different celebrities, which includes interviews with each subject.

Among the people profiled were Grace Kelly, Natalie Wood, Carly Simon, Jackie Kennedy, Katharine Hepburn, Carol Burnett, Tanya Tucker, and Marla Maples.",['Documentary'],['unknown'],17.6866,Documentary
1342,1342,64153,Kölner Treff,unknown,['Talk'],['unknown'],17.6768,Talk Show
1343,1343,74415,Grizzy & the Lemmings,"The forest ranger's house is the only area of human civilization in the middle of untamed wilderness in a vast natural reserve in Canada. When the ranger is away, a bear named Grizzy feels that the ranger's house is his territory, given that bears sit at the top of the food chain. After making his way inside the home, Grizzy takes advantage of all the modern conveniences there, including a comfortable sofa, air conditioning and fully equipped kitchen. He's not alone, though, because a group of small creatures called lemmings also populate the ranger's house when he is away. Because Grizzy and the lemmings are not civilized enough to live together in peace, it becomes an atmosphere of madness when the two sides try to outdo each other with tricks.","['Kids', 'Animation', 'Comedy', 'Family']","['Antoine Rodelet', 'Josselin Charier']",17.6749,Scripted
1344,1344,64783,Dawn of the Croods,"The world's first family is back for more laughs as they discover sports, sleepovers and other wonders in a world of exotic creatures and adventures. This 2D animated cartoon is based on the 3D animated feature film, ""The Croods"".","['Animation', 'Family', 'Kids', 'Comedy', 'Action & Adventure']",['Brendan Hay'],17.6562,Scripted
1345,1345,73223,Black Clover,"Asta and Yuno are two orphans who want the same thing: to become the Wizard King. Locked in a friendly rivalry, they work hard towards their goal. While Yuno excels at magic, Asta has a problem uncommon in this world: he has no powers! But, on the day they receive their grimoires, they surprise everyone. To reach their goal, they’ll each find their own path to greatness—with or without magic.","['Animation', 'Action & Adventure', 'Sci-Fi & Fantasy']",['unknown'],17.6557,Scripted
1346,1346,39379,Full Metal Panic!,"Kaname Chidori’s one of the most popular girls at her high school – unfortunately, it’s her growing popularity off campus she should be worrying about. Unbeknownst to Kaname, terrorists are plotting her abduction, believing she possesses the rare and coveted abilities of “the Whispered.”  That’s where Sousuke Sagara enters the picture. He’s a hotshot soldier from the clandestine counter-terrorist organization known as Mithril – and he’s going undercover at Kaname’s school to try and keep her safe. He may be an ace in the cockpit of an Arm Slave mech, but there’s no training in the world that could prepare him for the warzone of high school.","['Animation', 'Sci-Fi & Fantasy']",['unknown'],17.655,Scripted
1347,1347,236994,Dragon Ball DAIMA,"Mysteriously transformed into mini versions of themselves, Goku and his friends travel to the Demon Realm to uncover the truth and find a cure.","['Animation', 'Action & Adventure', 'Comedy', 'Sci-Fi & Fantasy']",['unknown'],17.6477,Scripted
1348,1348,312175,The Secret Friends Club,“The Secret Friends Club” is a reality variety show where cast members secretly prepare a special gift for someone without revealing their identities.,['Reality'],['unknown'],17.638,Reality
1349,1349,279446,Swords Into Plowshares,"During the tumultuous period of the Five Dynasties and Ten Kingdoms, three determined youths—Qian Hongshu, Zhao Kuangyin, and Guo Rong—navigate the chaos of political upheaval and war as they strive to overcome the suffering caused by endless conflict.",['Drama'],['unknown'],17.634,Scripted
1350,1350,15,Mister Rogers' Neighborhood,"Mister Rogers' Neighborhood is an American children's television series that was created and hosted by namesake Fred Rogers. The series originated in 1963 as Misterogers on CBC Television, and was later debuted in 1966 as Misterogers' Neighborhood on the regional Eastern Educational Network, followed by its US network debut on February 19, 1968, and it aired on NET and its successor, PBS, until August 31, 2001. The series is aimed primarily at preschool ages 2 to 5, but has been stated by PBS as ""appropriate for all ages"". Mister Rogers' Neighborhood was produced by Pittsburgh, Pennsylvania, USA public broadcaster WQED and Rogers' non-profit production company Family Communications, Inc.; previously known as Small World Enterprises prior to 1971, the company was renamed The Fred Rogers Company after Rogers' death.",['Kids'],['Fred Rogers'],17.6185,Scripted
1351,1351,37472,Octonauts,"Follows an underwater exploring crew made up of stylized anthropomorphic animals, a team of eight adventurers who live in an undersea base, the Octopod, from where they go on undersea adventures with the help of a fleet of aquatic vehicles.","['Animation', 'Kids']","['Michael C. Murphy', 'Vicki Wong']",17.6101,Scripted
1352,1352,80281,Larva,Two curious worms spend their days investigating the otherworldly objects that fall through the grate into their subterranean world.,"['Animation', 'Comedy', 'Kids', 'Family']",['unknown'],17.591,Scripted
1353,1353,218539,My Demon,"A pitiless demon becomes powerless after getting entangled with an icy heiress, who may hold the key to his lost abilities — and his heart.","['Drama', 'Comedy']","['Choi A-il', 'Kim Jang-han', 'Kwon Da-som']",17.5827,Scripted
1354,1354,70620,Echappées Belles,"Échappées Belles is a French weekly discovery magazine, broadcast on Saturdays in the first part of the evening on France 5 since September 30, 2006. It is presented in turn by Sophie Jovillard, Jérôme Pitorin, Ismaël Khelifa, Tiga, Sabine Quindou, Théo Curin and Anto Cocagne.",['Documentary'],['Stéphane Bouillaud'],17.5823,Documentary
1355,1355,8082,Meteor Garden,"Shan Cai, whose parents are far from wealthy, attends Ying De University, the private school established exclusively for rich students. Besides being looked down by rich classmates, she has angered the leader of F4, Dao Ming Si.","['Drama', 'Comedy', 'Soap']",['Angie Chai'],17.5812,Scripted
1356,1356,4957,Armed Reaction,"Armed Reaction is a 1998 Hong Kong modern cop drama produced by TVB. The drama stars Bobby Au-yeung and Esther Kwan as the main leads with Joyce Tang, Marco Ngai, Mimi Chu and Joe Ma in main supporting roles.

The drama takes place before 1997 Handover of Hong Kong and Royal Hong Kong Police revolves around the lives of two police woman, one who works leisurely behind desk duty but has to take her job more seriously once her husband leaves her and a new rookie cop who is deemed too ambitious and rash by her superior.","['Comedy', 'Crime', 'Drama']",['unknown'],17.5787,Scripted
1357,1357,62816,Quantico,"A diverse group of recruits has arrived at the FBI Quantico Base for training. They are the best, the brightest and the most vetted, so it seems impossible that one of them is suspected of masterminding the biggest attack on New York City since 9/11.","['Crime', 'Drama', 'Mystery']",['Joshua Safran'],17.575,Scripted
1358,1358,4327,Mr. Bean,Mr Bean turns simple everyday tasks into chaotic situations and will leave you in stitches as he creates havoc wherever he goes.,['Comedy'],"['Richard Curtis', 'Rowan Atkinson']",17.5619,Scripted
1359,1359,83858,Nachtcafé,unknown,['Talk'],['unknown'],17.5606,Talk Show
1360,1360,3213,"Marcus Welby, M.D.","Marcus Welby, M.D. is an American medical drama television program that aired on ABC from September 23, 1969, to July 29, 1976. It starred Robert Young as a family practitioner with a kind bedside manner and James Brolin as the younger doctor he often worked with, and was produced by David Victor and David J. O'Connell. The pilot, A Matter of Humanities, had aired as an ABC Movie of the Week on March 26, 1969.",['Drama'],['David Victor'],17.5592,Scripted
1361,1361,8892,Pinoy Big Brother,"The Philippine adaptation of the reality game show ""Big Brother"" features Filipino housemates live together, share their stories and build meaningful relationships as they do tasks and challenges supervised by Big Brother. Every week a nomination is done, and the public decides who gets evicted and eventually become the Big Winner of the program.",['Reality'],['John de Mol'],17.5572,Reality
1362,1362,81887,To Soi Sou,unknown,['Comedy'],['Constantine Ganosis'],17.5503,Scripted
1363,1363,3902,Shaun the Sheep,"Shaun the Sheep thinks and acts like a person in a barnyard, which usually gets him into trouble. The farmer's sheepdog, Bitzer, tries to keep Shaun and his friends out of trouble. The farmer is oblivious to the humanlike features of his flock, who are like one big, happy family.","['Kids', 'Animation', 'Family', 'Comedy']",['Richard Starzak'],17.5445,Scripted
1364,1364,89180,Dimension 20,"Heed the call of adventure and enter Dimension 20 where Game Master Brennan Lee Mulligan, joined by comedians and pro gamers, blends comedy with tabletop RPGs.","['Sci-Fi & Fantasy', 'Comedy', 'Reality', 'Action & Adventure']",['Brennan Lee Mulligan'],17.5431,Reality
1365,1365,799,Sherlock Holmes,"Sherlock Holmes uses his abilities to take on cases by private clients and those that the Scotland Yard are unable to solve, along with his friend Dr. Watson.","['Crime', 'Drama', 'Mystery']",['John Hawkesworth'],17.5354,Scripted
1366,1366,244557,Mahsun J,"Mahsun is a motorcycle courier in Istanbul. While searching for a way out of his life filled with debt, he accidentally discovers his ""greatest"" talent and decides to become a GIGOLO. Her manager will be her friend Leyla, who is a failed advertising executive.",['Comedy'],['Abdullah Özgenç'],17.534,Scripted
1367,1367,40561,Küstenwache,Küstenwache is a German television series that tells the fictionalized adventures of a unit of Federal Coast Guard officers off the German coast of the Baltic Sea.,"['Crime', 'Action & Adventure', 'Drama']",['Andreas Hug'],17.5284,Scripted
1368,1368,35868,Black Jack,"Black Jack is an ""unregistered"" doctor with a clouded, mysterious past. He works with his little assistant Pinoko (who has a massive crush on the doctor), dealing with medical cases not very well known, which can be strange, dangerous, or not known at all. But he is a genius, and can save almost any of his patients' life (as long as they have the money for it, that is), and is known to many around the world, especially to those of medicine and science. He's a man of science himself, and does not believe much until he has seen it, yet it is many times he is surprised by love and nature often overpowering the science he bases his life in.","['Animation', 'Drama']",['unknown'],17.5199,Scripted
1369,1369,85349,Amphibia,"The adventures of 13-year-old, self-centered Anne Boonchuy who is magically transported to the fictitious world of Amphibia, a rural marshland full of frog-people. With the help of an excitable young frog named Sprig, Anne will become a hero and discover the first true friendship of her life.","['Animation', 'Comedy', 'Action & Adventure', 'Sci-Fi & Fantasy', 'Family']",['Matt Braly'],17.4995,Scripted
1370,1370,1293,The Clinic for Married Couples: Love and War,"The Clinic for Married Couples: Love and War, aka Husbands and Wives: Love or War, is a South Korean TV program.",['Drama'],['unknown'],17.4985,Scripted
1371,1371,279623,Sound Check,Zani and Tum host a series of talks with their celebrity guests interspersed with live musical performances.,"['Talk', 'Reality']",['unknown'],17.4828,Reality
1372,1372,2023,Countryfile,"The people, places and stories making news in the British countryside.",['Documentary'],['unknown'],17.48,Scripted
1373,1373,72237,Miniforce,Four animal superheroes called the Miniforce transform into robots to protect small and defenseless creatures from the hands of scheming villains.,"['Animation', 'Kids', 'Action & Adventure', 'Comedy', 'Sci-Fi & Fantasy']",['unknown'],17.4516,Scripted
1374,1374,1481,The 4400,"4400 centers on the return of 4400 people who, previously presumed dead or reported missing, reappear on Earth. Though they have not aged physically, some of them seem to have deeper alterations ranging from superhuman strength to an unexplained healing touch. A government agency is formed to track the 4400 people after one of them commits a murder.","['Drama', 'Sci-Fi & Fantasy']","['Scott Peters', 'René Echevarria']",17.4499,Scripted
